lon,lat,poly_area_deg2
-93.048714,19.879094,0.0052422265
-92.511469,19.839881,0.0081557736
-92.233525,19.876620,0.003435055
-93.804645,19.900423,0.0030749194
-94.675640,19.942797,0.0010507751
-93.388481,19.788670,0.11309747
-94.576232,19.798556,0.067746151
-92.361841,19.993009,0.0029699724
-92.443639,20.010889,0.0015239631
-92.595551,20.010580,0.0021633094
-94.390702,19.903252,0.024731914
-94.287802,20.082773,0.00092335878
-92.927206,20.003339,0.007492093
-93.473414,20.022941,0.016213572
-92.682955,20.016416,0.0081818801
-94.380787,20.087725,0.0050763524
-94.211590,19.963729,0.035250172
-94.057904,20.058374,0.010959182
-93.185853,20.078101,0.0052157598
-92.487229,20.117183,0.0028580725
-93.064847,20.034468,0.021696082
-92.889694,20.174512,0.00068375095
-93.030644,20.155566,0.0078492873
-92.767193,20.055569,0.020594184
-92.993119,20.222559,0.003679612
-92.532618,20.243674,0.0010773066
-94.261245,20.212655,0.0082485122
-93.706484,20.159888,0.023465448
-93.927248,20.059922,0.063616899
-93.163534,20.262015,0.0031314426
-94.285951,20.265918,0.0040256712
-93.061979,20.272013,0.0028520178
-94.557848,20.226004,0.0099856297
-92.617584,20.246801,0.0040366038
-94.140136,20.212352,0.014751868
-93.992667,20.300057,0.004983339
-92.524222,20.328471,0.0012567861
-92.635424,20.338157,0.0019593477
-93.522164,20.291577,0.016761685
-92.963453,20.365062,0.0021908587
-92.535139,20.392508,0.00095604519
-92.774871,20.294273,0.013117957
-93.866991,20.375694,0.0043152604
-92.859407,20.341214,0.0078285669
-93.734477,20.408133,0.0062578747
-92.683967,20.395131,0.0061745016
-93.594923,20.426229,0.0073092016
-93.468488,20.434943,0.0045918265
-94.523703,20.555644,0.0015277167
-93.955615,20.562703,0.0016810822
-93.541470,20.546146,0.013213885
-92.835308,20.555831,0.0042514924
-92.786046,20.573957,0.0083371611
-94.433248,20.358018,0.059750863
-93.958565,20.679110,0.0031404886
-94.024167,20.510329,0.0468764
-93.321013,20.358290,0.10257628
-92.787831,20.729156,0.001912909
-93.754581,20.613040,0.054047341
-92.944795,20.734072,0.0043339225
-94.230248,20.567233,0.051966914
-93.520386,20.732729,0.010337456
-93.922537,20.790291,0.0018945027
-93.977038,20.792308,0.005985557
-92.967229,20.863633,0.0019933333
-92.898356,20.830795,0.0058143873
-93.026115,20.906090,0.0031380472
-93.810327,20.865219,0.013305349
-93.595292,20.870085,0.012943458
-93.098175,20.887067,0.010437541
-94.036495,20.938001,0.011730315
-93.446714,20.934093,0.017551649
-93.351149,21.013259,0.0023205639
-94.240335,21.029992,0.0023461831
-94.158973,21.015231,0.0076383062
-92.922130,21.043993,0.0092985528
-93.011812,21.091559,0.003171586
-94.244967,21.188862,0.0014889671
-94.173539,21.185583,0.0023943736
-94.024243,21.191390,0.0017580074
-93.858427,21.127221,0.026230844
-93.125724,21.156252,0.0071184089
-93.413032,21.208851,0.0045500911
-93.241180,21.119302,0.027230705
-93.038973,21.244404,0.0021540586
-94.080577,21.229618,0.0067539338
-93.871969,21.290199,0.0010634883
-94.242193,21.320929,0.0020211028
-93.526815,21.236118,0.024785182
-93.710284,21.140650,0.039125762
-93.914812,21.344185,0.0079373372
-94.088459,21.391293,0.0018432205
-92.997248,21.378998,0.002390952
-94.146917,21.402022,0.0012398589
-93.373987,21.389773,0.0025475441
-93.693788,21.457443,0.0017481047
-93.972684,21.428809,0.010035852
-93.762663,21.520604,0.0034510436
-93.523394,21.528889,0.0044166264
-93.128208,21.524898,0.0074075168
-93.622292,21.550835,0.0058236482
-93.927531,21.585927,0.0015100081
-94.050054,21.593023,0.0014361613
-93.780199,21.663587,0.010627975
-93.894513,21.731043,0.0021448648
